delay_band,delay_band_label,band_order,delivered_orders,reviewed_orders,low_review_orders,low_review_rate,average_review_score,review_coverage,average_order_gmv_proxy,average_order_freight_burden
early_7_plus_days,At least 7 days early,1,39514,39339,3596,0.09141055949566587864,4.3154121863799283,0.99557118995798957332,139.0776757604899529,0.21143360329035338158
on_time_within_6_days,"On time, within 6 days",2,9185,9129,904,0.09902508489429291270,4.2239018512432906,0.99390310288513881328,122.1994686989657050,0.20081142383330583417
late_1_2_days,1–2 days late,3,842,834,201,0.24100719424460431655,3.5539568345323741,0.99049881235154394299,139.9979691211401425,0.21052686542145044527
late_3_7_days,3–7 days late,4,1470,1437,931,0.64787752261656228253,2.1837160751565762,0.97755102040816326531,145.3391836734693878,0.21125963665586169049
late_8_plus_days,8+ days late,5,1766,1723,1382,0.80208937899013348810,1.6569936157864190,0.97565118912797281993,151.6013306908267271,0.21977789087987279494
