yoy_comparison_period,period_label,period_sort,delivered_orders,delivered_customers,item_rows,delivered_gmv_proxy,delivered_aov_proxy,active_sellers,on_time_eligible_orders,on_time_orders,on_time_rate,reviewed_orders,low_review_orders,low_review_rate,average_review_score,review_coverage,freight_value,freight_burden
2017_JAN_AUG,Jan–Aug 2017,1,21998,21404,24943,2993456.13,136.0785585053186653,1153,21997,21228,0.96504068736645906260,21837,2312,0.10587534917800064111,4.2329990383294409,0.99268115283207564324,479442.12,0.13805245229974704845
2018_JAN_AUG,Jan–Aug 2018,2,52783,51612,60324,7218125.12,136.7509448117765190,2330,52777,48699,0.92273149288515830760,52468,7015,0.13370054128230540520,4.1417054204467485,0.99403216944849667507,1233459.65,0.14594418485611426932
