segment_label,current_orders,current_gmv,on_time_rate,low_review_rate,observed_late_orders,peer_median_scenario_gap,current_confidence
Watches & gifts × RJ,488,100773.88,0.86680327868852459016,0.21161825726141078838,65,32,high
Bed / bath / table × RJ,646,66362.41,0.83591331269349845201,0.23584905660377358491,106,63,high
Bed / bath / table × MG,554,64342.58,0.90433212996389891697,0.19230769230769230769,53,16,high
Office furniture × SP,286,60553.92,0.93006993006993006993,0.21126760563380281690,20,1,medium
Sports & leisure × RJ,456,58815.48,0.81359649122807017544,0.23725055432372505543,85,55,high
Computers & accessories × RJ,490,58321.85,0.84489795918367346939,0.24223602484472049689,76,43,high
